,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
30,22100016,1610612746,Clippers,LAC,LA,240:00,42.0,96.0,0.438,14.0,40.0,0.35,15.0,21.0,0.7140000000000001,8.0,31.0,39.0,24.0,9.0,2.0,7.0,25.0,113.0,-2.0
31,22100016,1610612744,Warriors,GSW,Golden State,240:00,43.0,83.0,0.518,15.0,31.0,0.484,14.0,22.0,0.636,10.0,43.0,53.0,27.0,5.0,4.0,21.0,20.0,115.0,2.0
32,22100017,1610612739,Cavaliers,CLE,Cleveland,240:00,43.0,84.0,0.512,9.0,31.0,0.29,17.0,20.0,0.85,7.0,29.0,36.0,26.0,9.0,3.0,18.0,15.0,112.0,-11.0
33,22100017,1610612766,Hornets,CHA,Charlotte,240:00,48.0,91.0,0.527,13.0,32.0,0.406,14.0,17.0,0.8240000000000001,11.0,35.0,46.0,32.0,13.0,1.0,18.0,16.0,123.0,11.0
34,22100018,1610612753,Magic,ORL,Orlando,240:00,33.0,83.0,0.39799999999999996,17.0,43.0,0.395,13.0,15.0,0.867,9.0,37.0,46.0,24.0,5.0,3.0,18.0,18.0,96.0,-25.0
35,22100018,1610612752,Knicks,NYK,New York,240:00,44.0,88.0,0.5,24.0,54.0,0.444,9.0,17.0,0.529,6.0,32.0,38.0,34.0,10.0,4.0,11.0,19.0,121.0,25.0
36,22100019,1610612764,Wizards,WAS,Washington,265:00,49.0,94.0,0.521,19.0,38.0,0.5,18.0,19.0,0.9470000000000001,6.0,32.0,38.0,24.0,5.0,6.0,9.0,21.0,135.0,1.0
37,22100019,1610612754,Pacers,IND,Indiana,265:00,52.0,97.0,0.536,15.0,34.0,0.441,15.0,20.0,0.75,7.0,35.0,42.0,28.0,5.0,6.0,12.0,22.0,134.0,-1.0
38,22100020,1610612761,Raptors,TOR,Toronto,240:00,42.0,100.0,0.42,10.0,35.0,0.28600000000000003,21.0,21.0,1.0,21.0,39.0,60.0,22.0,16.0,2.0,11.0,13.0,115.0,32.0
39,22100020,1610612738,Celtics,BOS,Boston,240:00,32.0,82.0,0.39,11.0,34.0,0.324,8.0,11.0,0.727,10.0,32.0,42.0,19.0,6.0,11.0,25.0,19.0,83.0,-32.0
40,22100021,1610612755,76ers,PHI,Philadelphia,240:00,43.0,91.0,0.473,14.0,36.0,0.389,9.0,11.0,0.818,5.0,30.0,35.0,17.0,8.0,9.0,8.0,21.0,109.0,-5.0
41,22100021,1610612751,Nets,BKN,Brooklyn,240:00,41.0,88.0,0.466,12.0,38.0,0.316,20.0,24.0,0.833,11.0,36.0,47.0,26.0,6.0,6.0,12.0,16.0,114.0,5.0
42,22100022,1610612740,Pelicans,NOP,New Orleans,240:00,42.0,87.0,0.483,15.0,29.0,0.517,13.0,16.0,0.813,9.0,33.0,42.0,26.0,7.0,5.0,16.0,20.0,112.0,-16.0
