,Date,Away_Team,Away_Prob_538,Home_Team,Home_Prob_538,Home_Odds,Away_Odds,Home_Prob_Implied,Away_Prob_Implied,Home_KC,Away_KC,Home_Bet,Away_Bet,Home_Payoff,Away_Payoff,Home_Prob_Prop,Away_Prob_Prop,Home_Prob_Combined,Away_Prob_Combined,Home_KC_Combined,Away_KC_Combined,Home_Bet_Combined,Away_Bet_Combined,Home_Payoff_Combined,Away_Payoff_Combined
0,2021-12-15,Hawks,0.75,Magic,0.25,280.0,-350.0,0.26315789473684215,0.777777777777778,0.0,0.0,0.0,0,0.0,0,0.4257178112874551,0.5742821887125449,0.33785890564372756,0.6621410943562724,0.012672492921703778,0,1301.203723229624,0,3643.3704250429473,0
1,2021-12-15,Rockets,0.23,Cavaliers,0.78,-430.0,340.0,0.8113207547169812,0.2272727272727273,0.0,0.0004411764705882357,0.0,0,0.0,0,0.8240484185788991,0.1759515814211009,0.8020242092894496,0.20297579071055044,0.0,0,0.0,0,0.0,0
2,2021-12-15,Heat,0.22,76ers,0.78,-235.0,194.0,0.701492537313433,0.34013605442176875,0.032875000000000015,0.0,3589.0632439580586,0,1527.2609548757696,0,0.6029814552522429,0.3970185447477571,0.6914907276261215,0.30850927237387854,0.0,0,0.0,0,0.0,0
3,2021-12-15,Lakers,0.34,Mavericks,0.66,-108.0,-108.0,0.5192307692307693,0.5192307692307693,0.03660000000000001,0.0,3995.732767417944,0,3699.7525624240225,0,0.643611824541462,0.356388175458538,0.651805912270731,0.348194087729269,0.03446953719039007,0,3539.310726567552,0,3277.139561636622,0
4,2021-12-15,Pacers,0.27,Bucks,0.73,102.0,-120.0,0.49504950495049505,0.5454545454545454,0.05816176470588236,0.0,6349.695875577775,0,6476.689793089331,0,0.7365740930172769,0.26342590698272306,0.7332870465086385,0.26671295349136154,0.058975469846501205,0,6055.564711506381,0,6176.676005736509,0
5,2021-12-15,Pelicans,0.58,Thunder,0.42,134.0,-158.0,0.4273504273504273,0.6124031007751938,0.0,0.0,0.0,0,0.0,0,0.654237936982732,0.34576206301726803,0.537118968491366,0.462881031508634,0.023960670360988468,0,2460.266790238155,0,3296.757498919128,0
6,2021-12-15,Hornets,0.28,Spurs,0.73,-154.0,130.0,0.6062992125984253,0.43478260869565216,0.039275,0.0,4287.770613124036,0,2784.2666318987244,0,0.582190315145815,0.41780968485418496,0.6560951575729075,0.3489048424270925,0.01581021252939813,0,1623.3828288884627,0,1054.1446940834173,0
7,2021-12-15,Timberwolves,0.24,Nuggets,0.76,-178.0,150.0,0.6402877697841727,0.4,0.04160000000000001,0.0,4541.5978995788655,0,2551.45949414543,0,0.705693237542189,0.29430676245781096,0.7328466187710945,0.2671533812289055,0.03216420002295533,0,3302.6001342555837,0,1855.3933338514514,0
8,2021-12-15,Clippers,0.17,Jazz,0.83,-420.0,330.0,0.8076923076923076,0.23255813953488366,0.014499999999999975,0.0,0.0,0,0.0,0,0.7889614925870859,0.21103850741291408,0.8094807462935429,0.19051925370645706,0.0011624850908029097,0,0.0,0,0.0,0
9,2021-12-15,Grizzlies,0.47,Trail Blazers,0.53,108.0,-126.0,0.4807692307692307,0.5575221238938053,0.011851851851851856,0.0,1293.9025354925545,0,1397.414738331959,0,0.459008128087594,0.540991871912406,0.494504064043797,0.505495935956203,0.0033065339364696526,0,0.0,0,0.0,0
10,2021-12-15,Wizards,0.46,Kings,0.54,-102.0,-116.0,0.504950495049505,0.5370370370370371,0.008850000000000005,0.0,966.1812839248312,0,947.2365528674816,0,0.5574382786775699,0.4425617213224301,0.5487191393387849,0.4512808606612151,0.011051582683043189,0,1134.7696639961855,0,1112.5192784276328,0
