,Date,Away_Team,Away_Prob_538,Home_Team,Home_Prob_538,Home_Odds,Away_Odds,Home_Prob_Implied,Away_Prob_Implied,Home_KC,Away_KC,Home_Bet,Away_Bet,Home_Payoff,Away_Payoff,Home_Prob_Prop,Away_Prob_Prop,Home_Prob_Combined,Away_Prob_Combined,Home_KC_Combined,Away_KC_Combined,Home_Bet_Combined,Away_Bet_Combined,Home_Payoff_Combined,Away_Payoff_Combined,Won_Bet_538,Money_Tracker_538,Won_Bet_Combined,Money_Tracker_Combined
0,2021-12-07,Nets,0.45,Mavericks,0.55,144.0,-172.0,0.4098360655737705,0.6323529411764707,0.029687500000000006,0.0,2968.7500000000014,0.0,4275.000000000001,0.0,0.54530529400337,0.45469470599663,0.547652647001685,0.452347352998315,0.0291903175941069,0.0,2919.0317594106896,0.0,4203.4057335513935,0.0,0,97031.25,0,97080.96824058931
1,2021-12-07,Knicks,0.43,Spurs,0.57,132.0,-156.0,0.4310344827586207,0.609375,0.03053030303030302,0.0,3053.030303030302,0.0,4029.9999999999986,0.0,0.5799040432736811,0.4200959567263189,0.5749520216368404,0.4250479783631593,0.03161824717779072,0.0,3161.824717779071,0.0,4173.608627468374,0.0,0,93978.21969696973,0,93919.14352281023
2,2021-12-07,Celtics,0.54,Lakers,0.46,-146.0,124.0,0.5934959349593496,0.4464285714285715,0.0,0.021129032258064527,0.0,2112.9032258064526,0.0,2620.000000000001,0.57242247291056,0.42757752708944,0.51621123645528,0.48378876354471995,0.0,0.008436172413323869,0.0,843.6172413323868,0.0,1046.0853792521596,0,91865.31647116324,0,93075.52628147783
0,2021-12-08,Bulls,0.37,Cavaliers,0.63,-146.0,124.0,0.5934959349593496,0.4464285714285715,0.011225000000000002,0.0,1031.1881773888076,0.0,706.2932721841147,0.0,0.604209305186899,0.395790694813101,0.6171046525934495,0.3828953474065505,0.007259680672485716,0.0,0.0,0.0,0.0,0.0,1,92571.60974334736,-1,93075.52628147783
1,2021-12-08,Knicks,0.25,Pacers,0.75,-196.0,164.0,0.6621621621621621,0.3787878787878789,0.032500000000000015,0.0,2985.6227853128057,0.0,1523.276931282044,0.0,0.693900235118327,0.30609976488167306,0.7219501175591635,0.2780498824408365,0.02212154349689049,0.0,2058.9743031316857,0.0,1050.4970934345338,0.0,1,94094.8866746294,1,94126.02337491236
2,2021-12-08,76ers,0.72,Hornets,0.28,240.0,-295.0,0.29411764705882354,0.7468354430379747,0.0,0.0,0.0,0.0,0.0,0.0,0.589100236039953,0.4108997639600471,0.4345501180199765,0.5654498819800235,0.024868250066037503,0.0,2314.6254625958363,0.0,5555.101110230007,0.0,-1,94094.8866746294,0,91811.39791231652
3,2021-12-08,Wizards,0.67,Pistons,0.33,225.0,-275.0,0.3076923076923077,0.7333333333333333,0.0040277777777777855,0.0,0.0,0.0,0.0,0.0,0.449409647200241,0.5505903527997591,0.3897048236001205,0.6102951763998796,0.01480781537224398,0.0,1378.245208850566,0.0,3101.051719913773,0.0,-1,94094.8866746294,0,90433.15270346595
4,2021-12-08,Bucks,0.53,Heat,0.47,235.0,-290.0,0.2985074626865672,0.7435897435897436,0.030558510638297873,0.0,2807.2672506746417,0.0,6597.0780390854125,0.0,0.612497078644417,0.38750292135558295,0.5412485393222085,0.4587514606777915,0.04325439397496799,0.0,4025.9254832065308,0.0,9460.924885535347,0.0,1,100691.9647137148,1,99894.0775890013
5,2021-12-08,Thunder,0.14,Raptors,0.86,-280.0,230.0,0.7368421052631579,0.30303030303030304,0.0585,0.0,5374.12101356305,0.0,1919.328933415375,0.0,0.7438623260640942,0.2561376739359058,0.8019311630320471,0.1980688369679529,0.030917302440222408,0.0,2877.6441958273185,0.0,1027.730069938328,0.0,0,95317.84370015176,0,97016.43339317398
6,2021-12-08,Nets,0.65,Rockets,0.35,260.0,-320.0,0.27777777777777785,0.7619047619047619,0.012499999999999995,0.0,1148.31645588954,0.0,2985.6227853128044,0.0,0.437138325856875,0.5628616741431249,0.3935691629284375,0.6064308370715625,0.020040816660691102,0.0,1865.3095578044336,0.0,4849.804850291527,0.0,1,98303.46648546457,1,101866.23824346553
